Industry,GAds-Cost Per Click,GAds-Cost Per Lead,GAds-Click Through Rate,GAds-Conversion Rate,GAds-Average ROAS,Meta-Cost Per Click,Meta-Cost Per Lead,Meta-Click Through Rate,Meta-Conversion Rate,Meta-Average ROAS,GAds-Cost Per Click_Q1,GAds-Cost Per Click_Q2,GAds-Cost Per Click_Q3,GAds-Cost Per Click_Q4,GAds-Cost Per Lead_Q1,GAds-Cost Per Lead_Q2,GAds-Cost Per Lead_Q3,GAds-Cost Per Lead_Q4,GAds-Click Through Rate_Q1,GAds-Click Through Rate_Q2,GAds-Click Through Rate_Q3,GAds-Click Through Rate_Q4,GAds-Conversion Rate_Q1,GAds-Conversion Rate_Q2,GAds-Conversion Rate_Q3,GAds-Conversion Rate_Q4,GAds-Average ROAS_Q1,GAds-Average ROAS_Q2,GAds-Average ROAS_Q3,GAds-Average ROAS_Q4,Meta-Cost Per Click_Q1,Meta-Cost Per Click_Q2,Meta-Cost Per Click_Q3,Meta-Cost Per Click_Q4,Meta-Cost Per Lead_Q1,Meta-Cost Per Lead_Q2,Meta-Cost Per Lead_Q3,Meta-Cost Per Lead_Q4,Meta-Click Through Rate_Q1,Meta-Click Through Rate_Q2,Meta-Click Through Rate_Q3,Meta-Click Through Rate_Q4,Meta-Conversion Rate_Q1,Meta-Conversion Rate_Q2,Meta-Conversion Rate_Q3,Meta-Conversion Rate_Q4,Meta-Average ROAS_Q1,Meta-Average ROAS_Q2,Meta-Average ROAS_Q3,Meta-Average ROAS_Q4
Finance,4.01,90.02,0.0618,0.0411,2.0,3.77,41.43,0.0056,0.0909,1.5,2.63139365234374,4.01,5.38860634765626,inf,59.07183455959687,90.02,120.96816544040311,inf,0.04338304047964901,0.0554045964863568,0.0790032846074736,inf,0.03442961388243573,0.04779611348733582,0.07403496769814374,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,2.4739037579391274,3.77,5.066096242060873,inf,27.186693021596295,41.43,55.6733069784037,inf,0.003931149299126771,0.005020481235009678,0.007158873686114113,inf,0.07614724822173743,0.10570965245739236,0.1637415708944347,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Fitness,4.18,51.42,0.0634,0.084,2.0,1.9,13.29,0.0101,0.1429,1.5,2.7429489942136738,4.18,5.617051005786326,inf,33.742209876188305,51.42,69.0977901238117,inf,0.04450622599368523,0.056839019696359565,0.08104867708922049,inf,0.07036709406629202,0.0976854874193725,0.15131234274073177,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.2467949973698518,1.9,2.553205002630148,inf,8.721002902655437,13.29,17.858997097344563,inf,0.00709010855735364,0.009054796513142454,0.01291154004102724,inf,0.11970783026277536,0.16618162085986105,0.257411116400602,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Furniture,2.77,108.85,0.0619,0.0257,2.0,2.93,44.66,0.007,0.0656,1.5,1.8176958645865735,2.77,3.7223041354134265,inf,71.42822919142546,108.85,146.27177080857453,inf,0.04345323957427627,0.055494247936981975,0.07913112163758279,inf,0.021528979970282205,0.029887107460450868,0.046294371529009594,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.922689127522982,2.93,3.9373108724770183,inf,29.30624451712504,44.66,60.013755482874956,inf,0.004913936623908464,0.006275601543762097,0.008948592107642641,inf,0.054953349651770914,0.07628771398465281,0.11816773433085717,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Healthcare,4.18,51.42,0.0634,0.084,2.0,1.32,12.31,0.0083,0.11,1.5,2.7429489942136738,4.18,5.617051005786326,inf,33.742209876188305,51.42,69.0977901238117,inf,0.04450622599368523,0.056839019696359565,0.08104867708922049,inf,0.07036709406629202,0.0976854874193725,0.15131234274073177,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.8661944192253708,1.32,1.7738055807746294,inf,8.077919167169934,12.31,16.542080832830067,inf,0.005826524854062893,0.007441070401889344,0.010610473499061988,inf,0.09214738508681097,0.12792147162060682,0.19814711549381536,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Home & Home Improvement,6.55,66.02,0.048,0.1022,2.0,2.93,44.66,0.007,0.0656,1.5,4.298161701459226,6.55,8.801838298540773,inf,43.322845119135586,66.02,88.7171548808644,inf,0.03369556542108661,0.043032696300082954,0.06136177445240669,inf,0.0856132977806553,0.11885067636023652,0.18409668366789028,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.922689127522982,2.93,3.9373108724770183,inf,29.30624451712504,44.66,60.013755482874956,inf,0.004913936623908464,0.006275601543762097,0.008948592107642641,inf,0.054953349651770914,0.07628771398465281,0.11816773433085717,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Industrial & Commercial,4.35,59.74,0.0557,0.0791,2.0,2.14,38.21,0.0071,0.056,1.5,2.8545043360836075,4.35,5.845495663916392,inf,39.20185954888156,59.74,80.27814045111845,inf,0.03910089570738592,0.049935857998221256,0.07120522577081359,inf,0.066262346912425,0.0919871673199091,0.14248578941418907,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.4042848917744648,2.14,2.8757151082255357,inf,25.07370360500107,38.21,51.34629639499893,inf,0.004984135718535728,0.0063652529943872705,0.009076429137751823,inf,0.046911396044194684,0.06512365827958165,0.10087489516048782,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Insurance,4.01,90.02,0.0618,0.0411,2.0,3.77,41.43,0.0056,0.0909,1.5,2.63139365234374,4.01,5.38860634765626,inf,59.07183455959687,90.02,120.96816544040311,inf,0.04338304047964901,0.0554045964863568,0.0790032846074736,inf,0.03442961388243573,0.04779611348733582,0.07403496769814374,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,2.4739037579391274,3.77,5.066096242060873,inf,27.186693021596295,41.43,55.6733069784037,inf,0.003931149299126771,0.005020481235009678,0.007158873686114113,inf,0.07614724822173743,0.10570965245739236,0.1637415708944347,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Legal,9.21,111.05,0.0476,0.07,2.0,1.32,28.7,0.0161,0.0464,1.5,6.0436746977770195,9.21,12.376325302222982,inf,72.87188655680107,111.05,149.22811344319894,inf,0.033414769042577556,0.042674090497582265,0.06085042633196997,inf,0.05863924505524336,0.08140457284947708,0.12609361895060978,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.8661944192253708,1.32,1.7738055807746294,inf,18.83316653921829,28.7,38.56683346078171,inf,0.011302054234989468,0.014433883550652823,0.020581761847578074,inf,0.03886944243661845,0.05395960257451051,0.08358205599011848,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Physicians & Surgeons,3.97,37.71,0.0673,0.1312,2.0,1.32,12.31,0.0083,0.11,1.5,2.605145336609638,3.97,5.334854663390362,inf,24.745599658324796,37.71,50.67440034167521,inf,0.047243990684148515,0.0603354262707413,0.08603432126347854,inf,0.10990669930354183,0.15257542796930562,0.23633546866171434,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.8661944192253708,1.32,1.7738055807746294,inf,8.077919167169934,12.31,16.542080832830067,inf,0.005826524854062893,0.007441070401889344,0.010610473499061988,inf,0.09214738508681097,0.12792147162060682,0.19814711549381536,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Real Estate,1.55,66.02,0.0909,0.0288,2.0,1.81,16.92,0.0099,0.1068,1.5,1.0171222346964581,1.55,2.082877765303542,inf,43.322845119135586,66.02,88.7171548808644,inf,0.06381097701618277,0.0814931686182821,0.11620386036924515,inf,0.024125860822728693,0.033492167115213425,0.05187851751110803,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.187736286968122,1.81,2.432263713031878,inf,11.103037555525209,16.92,22.736962444474795,inf,0.006949710368099113,0.00887549361189211,0.01265586598080888,inf,0.08946673388428558,0.12420011971891645,0.19238283577035895,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Restaurants & Food,1.95,34.81,0.0865,0.0506,2.0,0.63,22.5,0.009,0.0282,1.5,1.2796053920374795,1.95,2.6203946079625204,inf,22.842596767602394,34.81,46.77740323239761,inf,0.06072221685258316,0.07754850479077449,0.11057903104444121,inf,0.042387797139933056,0.05884387694547914,0.09114767312715508,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.4134109728121088,0.63,0.8465890271878912,inf,14.764677600432456,22.5,30.235322399567544,inf,0.006317918516453739,0.008068630556265553,0.011505332709826253,inf,0.023623238722255177,0.03279441363364648,0.05079771506295994,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
SaaS,5.47,97.36,0.0511,0.0494,2.0,1.27,55.21,0.0104,0.0231,1.5,3.5894571766384678,5.47,7.350542823361532,inf,63.88840049680462,97.36,130.83159950319538,inf,0.03587173735453179,0.045811891269463306,0.06532472238579129,inf,0.041382552938986024,0.057448369982345246,0.0889860682308589,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.8333840245577431,1.27,1.706615975442257,inf,36.229237791994485,55.21,74.19076220800551,inf,0.007300705841235431,0.009323750865017973,0.013295051131354782,inf,0.019350950868230306,0.02686350904032743,0.04161089425370123,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Sports & Recreation,1.77,31.82,0.1053,0.0569,2.0,1.9,13.29,0.0101,0.1429,1.5,1.1614879712340198,1.77,2.3785120287659804,inf,20.880535166478253,31.82,42.75946483352175,inf,0.07391964664250875,0.09440297750830698,0.13461239270496717,inf,0.04766532919490495,0.06617028850193207,0.10249609883270996,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.2467949973698518,1.9,2.553205002630148,inf,8.721002902655437,13.29,17.858997097344563,inf,0.00709010855735364,0.009054796513142454,0.01291154004102724,inf,0.11970783026277536,0.16618162085986105,0.257411116400602,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Travel & Hospitality,1.63,62.18,0.1003,0.0387,2.0,0.63,22.5,0.009,0.0282,1.5,1.0696188661646624,1.63,2.1903811338353374,inf,40.80300680866178,62.18,83.55699319133822,inf,0.07040969191114556,0.08992040497704834,0.12822054119950813,inf,0.03241912548054168,0.04500509956106803,0.06971175790555141,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.4134109728121088,0.63,0.8465890271878912,inf,14.764677600432456,22.5,30.235322399567544,inf,0.006317918516453739,0.008068630556265553,0.011505332709826253,inf,0.023623238722255177,0.03279441363364648,0.05079771506295994,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
